警告: 当用作索引时，冒号运算符需要整数操作数 
> In main_10_16 (line 20) 
第1次: N=1.000000, K1=0.003823, K2=0.002087, f(N)=0.009558
第2次: N=0.030975, K1=0.003823, K2=0.002087, f(N)=1.402139
第3次: N=0.037841, K1=0.003823, K2=0.002087, f(N)=1.501392
第4次: N=0.045654, K1=0.003823, K2=0.002087, f(N)=1.164414
第5次: N=0.053798, K1=0.003823, K2=0.002087, f(N)=0.990521
第6次: N=0.062032, K1=0.003823, K2=0.002087, f(N)=0.948300
第7次: N=0.070238, K1=0.003823, K2=0.002087, f(N)=0.904237
第8次: N=0.078350, K1=0.003823, K2=0.002087, f(N)=0.867873
第9次: N=0.086332, K1=0.003823, K2=0.002087, f(N)=0.830863
第10次: N=0.094162, K1=0.003823, K2=0.002087, f(N)=0.801300
第11次: N=0.101827, K1=0.003823, K2=0.002087, f(N)=0.774221
第12次: N=0.109322, K1=0.003823, K2=0.002087, f(N)=0.747266
第13次: N=0.116642, K1=0.003823, K2=0.002087, f(N)=0.726238
第14次: N=0.123788, K1=0.003823, K2=0.002087, f(N)=0.706556
第15次: N=0.130762, K1=0.003823, K2=0.002087, f(N)=0.687305
第16次: N=0.137567, K1=0.003823, K2=0.002087, f(N)=0.669666
第17次: N=0.144206, K1=0.003823, K2=0.002087, f(N)=0.653642
第18次: N=0.150685, K1=0.003823, K2=0.002087, f(N)=0.639633
第19次: N=0.157008, K1=0.003823, K2=0.002087, f(N)=0.625730
第20次: N=0.163181, K1=0.003823, K2=0.002087, f(N)=0.612857
第21次: N=0.169209, K1=0.003823, K2=0.002087, f(N)=0.600574
第22次: N=0.175097, K1=0.003823, K2=0.002087, f(N)=0.588978
第23次: N=0.180851, K1=0.003823, K2=0.002087, f(N)=0.578495
第24次: N=0.186477, K1=0.003823, K2=0.002087, f(N)=0.568199
第25次: N=0.191979, K1=0.003823, K2=0.002087, f(N)=0.558434
第26次: N=0.197364, K1=0.003823, K2=0.002087, f(N)=0.549366
第27次: N=0.202637, K1=0.003823, K2=0.002087, f(N)=0.540817
第28次: N=0.207802, K1=0.003823, K2=0.002087, f(N)=0.532415
第29次: N=0.212865, K1=0.003823, K2=0.002087, f(N)=0.524385
第30次: N=0.217830, K1=0.003823, K2=0.002087, f(N)=0.516872
第31次: N=0.222702, K1=0.003823, K2=0.002087, f(N)=0.509553
第32次: N=0.227485, K1=0.003823, K2=0.002087, f(N)=0.502422
第33次: N=0.232185, K1=0.003823, K2=0.002087, f(N)=0.495535
第34次: N=0.236804, K1=0.003823, K2=0.002087, f(N)=0.488814
第35次: N=0.241347, K1=0.003823, K2=0.002087, f(N)=0.482327
第36次: N=0.245818, K1=0.003823, K2=0.002087, f(N)=0.476949
第37次: N=0.250219, K1=0.003823, K2=0.002087, f(N)=0.470942
第38次: N=0.254556, K1=0.003823, K2=0.002087, f(N)=0.465044
第39次: N=0.258830, K1=0.003823, K2=0.002087, f(N)=0.459479
第40次: N=0.263045, K1=0.003823, K2=0.002087, f(N)=0.454068
第41次: N=0.267204, K1=0.003823, K2=0.002087, f(N)=0.448926
第42次: N=0.271310, K1=0.003823, K2=0.002087, f(N)=0.443792
第43次: N=0.275365, K1=0.003823, K2=0.002087, f(N)=0.439260
第44次: N=0.279372, K1=0.003823, K2=0.002087, f(N)=0.434437
第45次: N=0.283333, K1=0.003823, K2=0.002087, f(N)=0.429702
第46次: N=0.287251, K1=0.003823, K2=0.002087, f(N)=0.425113
第47次: N=0.291128, K1=0.003823, K2=0.002087, f(N)=0.420584
第48次: N=0.294965, K1=0.003823, K2=0.002087, f(N)=0.416263
第49次: N=0.298765, K1=0.003823, K2=0.002087, f(N)=0.412001
第50次: N=0.302529, K1=0.003823, K2=0.002087, f(N)=0.407821
第51次: N=0.306259, K1=0.003823, K2=0.002087, f(N)=0.403738
第52次: N=0.309957, K1=0.003823, K2=0.002087, f(N)=0.399731
第53次: N=0.313624, K1=0.003823, K2=0.002087, f(N)=0.396547
第54次: N=0.317262, K1=0.003823, K2=0.002087, f(N)=0.392698
第55次: N=0.320872, K1=0.003823, K2=0.002087, f(N)=0.388921
第56次: N=0.324455, K1=0.003823, K2=0.002087, f(N)=0.385696
第57次: N=0.328013, K1=0.003823, K2=0.002087, f(N)=0.382039
第58次: N=0.331546, K1=0.003823, K2=0.002087, f(N)=0.378412
第59次: N=0.335055, K1=0.003823, K2=0.002087, f(N)=0.374892
第60次: N=0.338542, K1=0.003823, K2=0.002087, f(N)=0.371406
>> 
