

数据03-损失（1）：	f = @(N)    N + 1e+03*(  y - y_hat  )^2;
60次之后  N=0.435827, K1=0.001454, K2=0.004421




第1次: N=1.000000, K1=0.001454, K2=0.004421, f(N)=5.695566
第2次: N=0.984189, K1=0.001454, K2=0.004421, f(N)=5.680155
第3次: N=0.972423, K1=0.001454, K2=0.004421, f(N)=5.670124
第4次: N=0.962322, K1=0.001454, K2=0.004421, f(N)=5.660048
第5次: N=0.953134, K1=0.001454, K2=0.004421, f(N)=5.650828
第6次: N=0.944509, K1=0.001454, K2=0.004421, f(N)=5.642212
第7次: N=0.936253, K1=0.001454, K2=0.004421, f(N)=5.633966
第8次: N=0.928247, K1=0.001454, K2=0.004421, f(N)=5.627279
第9次: N=0.920408, K1=0.001454, K2=0.004421, f(N)=5.616384
第10次: N=0.912680, K1=0.001454, K2=0.004421, f(N)=5.609320
第11次: N=0.905021, K1=0.001454, K2=0.004421, f(N)=5.598662
第12次: N=0.897398, K1=0.001454, K2=0.004421, f(N)=5.591039
第13次: N=0.889786, K1=0.001454, K2=0.004421, f(N)=5.584376
第14次: N=0.882165, K1=0.001454, K2=0.004421, f(N)=5.576720
第15次: N=0.874519, K1=0.001454, K2=0.004421, f(N)=5.569220
第16次: N=0.866834, K1=0.001454, K2=0.004421, f(N)=5.563059
第17次: N=0.859100, K1=0.001454, K2=0.004421, f(N)=5.563458
第18次: N=0.851307, K1=0.001454, K2=0.004421, f(N)=5.555720
第19次: N=0.843448, K1=0.001454, K2=0.004421, f(N)=5.545672
第20次: N=0.835515, K1=0.001454, K2=0.004421, f(N)=5.529624
第21次: N=0.827504, K1=0.001454, K2=0.004421, f(N)=5.521163
第22次: N=0.819408, K1=0.001454, K2=0.004421, f(N)=5.503849
第23次: N=0.811225, K1=0.001454, K2=0.004421, f(N)=5.488743
第24次: N=0.802950, K1=0.001454, K2=0.004421, f(N)=5.498171
第25次: N=0.794581, K1=0.001454, K2=0.004421, f(N)=5.472159
第26次: N=0.786115, K1=0.001454, K2=0.004421, f(N)=5.459241
第27次: N=0.777549, K1=0.001454, K2=0.004421, f(N)=5.510956
第28次: N=0.768882, K1=0.001454, K2=0.004421, f(N)=5.502309
第29次: N=0.760113, K1=0.001454, K2=0.004421, f(N)=5.494198
第30次: N=0.751240, K1=0.001454, K2=0.004421, f(N)=5.485357
第31次: N=0.742261, K1=0.001454, K2=0.004421, f(N)=5.477150
第32次: N=0.733177, K1=0.001454, K2=0.004421, f(N)=5.454043
第33次: N=0.723986, K1=0.001454, K2=0.004421, f(N)=5.431304
第34次: N=0.714688, K1=0.001454, K2=0.004421, f(N)=5.449053
第35次: N=0.705282, K1=0.001454, K2=0.004421, f(N)=5.437347
第36次: N=0.695769, K1=0.001454, K2=0.004421, f(N)=5.422398
第37次: N=0.686148, K1=0.001454, K2=0.004421, f(N)=5.400113
第38次: N=0.676419, K1=0.001454, K2=0.004421, f(N)=5.377867
第39次: N=0.666582, K1=0.001454, K2=0.004421, f(N)=5.366085
第40次: N=0.656638, K1=0.001454, K2=0.004421, f(N)=5.342255
第41次: N=0.646586, K1=0.001454, K2=0.004421, f(N)=5.371912
第42次: N=0.636427, K1=0.001454, K2=0.004421, f(N)=5.362772
第43次: N=0.626161, K1=0.001454, K2=0.004421, f(N)=5.344415
第44次: N=0.615789, K1=0.001454, K2=0.004421, f(N)=5.322849
第45次: N=0.605311, K1=0.001454, K2=0.004421, f(N)=5.313411
第46次: N=0.594728, K1=0.001454, K2=0.004421, f(N)=5.857621
第47次: N=0.584040, K1=0.001454, K2=0.004421, f(N)=5.835560
第48次: N=0.573247, K1=0.001454, K2=0.004421, f(N)=5.808221
第49次: N=0.562351, K1=0.001454, K2=0.004421, f(N)=5.769926
第50次: N=0.551351, K1=0.001454, K2=0.004421, f(N)=5.791218
第51次: N=0.540250, K1=0.001454, K2=0.004421, f(N)=5.790682
第52次: N=0.529046, K1=0.001454, K2=0.004421, f(N)=5.879388
第53次: N=0.517741, K1=0.001454, K2=0.004421, f(N)=5.881840
第54次: N=0.506335, K1=0.001454, K2=0.004421, f(N)=5.850788
第55次: N=0.494829, K1=0.001454, K2=0.004421, f(N)=5.764248
第56次: N=0.483225, K1=0.001454, K2=0.004421, f(N)=5.682151
第57次: N=0.471521, K1=0.001454, K2=0.004421, f(N)=5.553837
第58次: N=0.459720, K1=0.001454, K2=0.004421, f(N)=5.541131
第59次: N=0.447822, K1=0.001454, K2=0.004421, f(N)=5.244194
第60次: N=0.435827, K1=0.001454, K2=0.004421, f(N)=5.232505
>> 
	len =1.2632e+04
	size(optimal_abnorm,1) = 179
