


警告: 当用作索引时，冒号运算符需要整数操作数 
> In main_10_16 (line 20) 
第1次: N=1.000000, K1=0.004740, K2=0.002001, f(N)=4.083608
第2次: N=0.984189, K1=0.004740, K2=0.002001, f(N)=4.067796
第3次: N=0.972423, K1=0.004740, K2=0.002001, f(N)=4.056017
第4次: N=0.962322, K1=0.004740, K2=0.002001, f(N)=4.045917
第5次: N=0.953134, K1=0.004740, K2=0.002001, f(N)=4.036728
第6次: N=0.944509, K1=0.004740, K2=0.002001, f(N)=4.028103
第7次: N=0.936253, K1=0.004740, K2=0.002001, f(N)=4.019848
第8次: N=0.928247, K1=0.004740, K2=0.002001, f(N)=4.011841
第9次: N=0.920408, K1=0.004740, K2=0.002001, f(N)=4.004003
第10次: N=0.912680, K1=0.004740, K2=0.002001, f(N)=3.996275
第11次: N=0.905021, K1=0.004740, K2=0.002001, f(N)=3.975985
第12次: N=0.897398, K1=0.004740, K2=0.002001, f(N)=3.968362
第13次: N=0.889786, K1=0.004740, K2=0.002001, f(N)=3.960748
第14次: N=0.882165, K1=0.004740, K2=0.002001, f(N)=3.951043
第15次: N=0.874519, K1=0.004740, K2=0.002001, f(N)=3.943397
第16次: N=0.866834, K1=0.004740, K2=0.002001, f(N)=3.935693
第17次: N=0.859100, K1=0.004740, K2=0.002001, f(N)=3.927958
第18次: N=0.851307, K1=0.004740, K2=0.002001, f(N)=3.888310
第19次: N=0.843448, K1=0.004740, K2=0.002001, f(N)=3.811738
第20次: N=0.835515, K1=0.004740, K2=0.002001, f(N)=3.776935
第21次: N=0.827504, K1=0.004740, K2=0.002001, f(N)=3.757267
第22次: N=0.819408, K1=0.004740, K2=0.002001, f(N)=3.766275
第23次: N=0.811225, K1=0.004740, K2=0.002001, f(N)=3.757990
第24次: N=0.802950, K1=0.004740, K2=0.002001, f(N)=3.749644
第25次: N=0.794581, K1=0.004740, K2=0.002001, f(N)=3.741338
第26次: N=0.786115, K1=0.004740, K2=0.002001, f(N)=3.771449
第27次: N=0.777549, K1=0.004740, K2=0.002001, f(N)=3.762874
第28次: N=0.768882, K1=0.004740, K2=0.002001, f(N)=3.756898
第29次: N=0.760113, K1=0.004740, K2=0.002001, f(N)=3.713606
第30次: N=0.751240, K1=0.004740, K2=0.002001, f(N)=3.695040
第31次: N=0.742261, K1=0.004740, K2=0.002001, f(N)=3.820567
第32次: N=0.733177, K1=0.004740, K2=0.002001, f(N)=3.812128
第33次: N=0.723986, K1=0.004740, K2=0.002001, f(N)=3.834410
第34次: N=0.714688, K1=0.004740, K2=0.002001, f(N)=3.786396
第35次: N=0.705282, K1=0.004740, K2=0.002001, f(N)=3.776928
第36次: N=0.695769, K1=0.004740, K2=0.002001, f(N)=3.812604
第37次: N=0.686148, K1=0.004740, K2=0.002001, f(N)=3.784972
第38次: N=0.676419, K1=0.004740, K2=0.002001, f(N)=4.062397
第39次: N=0.666582, K1=0.004740, K2=0.002001, f(N)=3.921415
第40次: N=0.656638, K1=0.004740, K2=0.002001, f(N)=3.897068
第41次: N=0.646586, K1=0.004740, K2=0.002001, f(N)=3.890346
第42次: N=0.636427, K1=0.004740, K2=0.002001, f(N)=3.881615
第43次: N=0.626161, K1=0.004740, K2=0.002001, f(N)=3.881709
第44次: N=0.615789, K1=0.004740, K2=0.002001, f(N)=3.729207
第45次: N=0.605311, K1=0.004740, K2=0.002001, f(N)=3.776710
第46次: N=0.594728, K1=0.004740, K2=0.002001, f(N)=3.741943
第47次: N=0.584040, K1=0.004740, K2=0.002001, f(N)=3.755622
第48次: N=0.573247, K1=0.004740, K2=0.002001, f(N)=3.699393
第49次: N=0.562351, K1=0.004740, K2=0.002001, f(N)=3.551570
